Year,Life_expectancy ,infant_deaths,Alcohol,percentage_expenditure,Hepatitis B,Measles ,under_five_deaths ,Polio,Total_expenditure,Diphtheria ,Income_composition_of_resources,Schooling
2001,46.7,2,5.48,306.9527349,87,1,4,97,5.73,97,0.56,11.8
2000,47.8,2,5.37,250.8916484,86,2672,4,97,4.64,97,0.559,11.7
2015,75,42,,0,96,214,47,98,,96,0.754,15.2
2014,74.8,44,7.32,83.16465362,96,876,49,96,8.32,93,0.747,15.2
2013,74.7,46,7.24,916.270845,96,220,52,96,8.48,97,0.734,14.2
2012,74.5,49,7.55,843.1946259,96,2,54,96,8.26,95,0.73,14.2
2011,74.1,51,7.58,1084.999766,98,43,57,98,8.9,99,0.724,14
2010,73.8,54,7.52,1111.191325,96,68,61,99,8.27,99,0.716,13.8
2009,73.6,57,7.33,564.5233902,99,0,64,99,8.65,99,0.714,13.8
2008,73.4,61,7.21,526.3780636,96,0,68,99,8.24,99,0.704,13.3
2007,73.3,65,7.19,394.9321299,99,0,73,99,8.28,99,0.7,13.5
2006,73,70,7.1,30.30374691,99,57,79,99,8.36,99,0.698,13.8
2005,72.7,75,6.97,23.76370075,98,6,85,99,8.27,99,0.694,13.8
2004,72,81,6.85,186.6090485,96,0,93,99,7.7,99,0.695,14
2003,71.8,88,6.95,15.85781237,97,2,100,99,6.94,99,0.699,14.8
2002,71.4,95,7,140.9824766,92,1,109,99,7.13,99,0.692,14.6
2001,71,103,7.13,149.4802091,91,1,118,99,7.19,98,0.685,14.3
2000,75,111,7.26,179.4777293,94,36,127,99,7.3,98,0.677,14.1
2015,77.7,0,,0,99,4,0,99,,99,0.864,14.9
2014,77.6,0,0.01,269.1432784,99,1,0,99,2.65,99,0.863,15
2013,77.1,0,0.01,2845.306444,98,0,0,99,2.61,99,0.86,14.9
2012,78.3,0,0.01,3192.634413,99,1,0,99,2.3,99,0.852,14.4
2011,77.4,0,0.97,295.7730171,93,4,0,99,2.25,97,0.846,14.1
2010,76.9,0,0.88,2218.364226,96,0,0,99,2.73,95,0.845,14.2
2009,76.8,0,0.25,1873.686852,96,2,0,99,2.85,99,0.841,14.1
2008,77.2,0,0.67,2538.941033,96,3,0,97,2.23,98,0.84,14.2
2007,76,0,0.85,2048.557422,97,0,0,95,2.32,99,0.84,14.3
2006,76.3,0,0.67,24.97532919,99,0,0,94,2.24,97,0.837,14.3
2005,76.2,0,0.16,179.7147814,99,9,0,93,2.62,94,0.834,14.1
2004,76.4,0,0.11,1504.30004,99,16,0,92,3.1,92,0.828,13.7
2003,76,0,0.12,1406.51194,99,24,0,99,3.9,92,0.823,13.4
2002,74.8,0,0.13,941.7036868,99,0,0,99,3.4,94,0.82,13.3
2001,74.7,0,0.47,1078.66244,99,11,0,99,3.6,97,0.819,13.4
2000,74.4,0,0.37,11.79686108,99,42,0,99,3.5,99,0.818,13.4
2015,74.5,0,,0,92,0,1,91,,91,0.792,15
2014,74.3,1,12.03,153.1400362,95,0,1,88,8.44,88,0.787,14.8
2013,74.1,1,12.06,149.659879,95,14,1,95,7.93,95,0.781,14.4
2012,73.9,1,10.99,851.450672,95,1,1,95,7.11,95,0.778,14.3
2011,73.7,1,10.67,875.1495189,96,157,1,95,6.88,95,0.775,14.2
2010,73.4,1,10.8,766.4454884,95,22004,1,94,7.24,94,0.77,13.9
2009,73.2,1,10.93,661.5144334,96,2249,1,94,6.78,94,0.768,13.8
2008,72.9,1,10.98,107.9826127,96,1,1,96,6.61,95,0.761,13.8
2007,72.6,1,10.89,591.5100978,95,1,1,95,6.41,95,0.755,13.5
2006,72.2,1,10.39,508.6304588,96,1,1,96,6.67,95,0.75,13.5
2005,72.1,1,10.48,456.3404657,96,3,1,97,7.8,96,0.745,13.5
2004,72.2,1,10.96,384.1473028,94,0,1,94,7.9,95,0.738,13.3
2003,72,1,11.19,32.38616103,96,0,1,96,7.43,96,0.729,12.9
2002,71.8,1,10.2,33.26778134,88,0,1,94,7.41,93,0.723,12.9
2001,71.6,1,10.72,25.06262895,93,8,1,94,7.23,94,0.713,12.9
2000,71.1,1,9.69,15.2357274,94,46,1,94,6.7,93,0.709,12.9
2015,59.9,38,,0,91,99,61,91,,91,0.399,7.7
2014,59.3,39,0.01,8.386339501,91,343,63,91,4.96,91,0.398,7.7
2013,59,40,4.64,88.97040214,88,375,66,89,5.91,88,0.392,7.5
2012,58.6,41,4.75,78.76987363,9,7362,68,9,5.33,9,0.384,7.2
2011,58.1,42,4.51,85.55592906,91,860,71,9,5.17,91,0.377,6.7
2010,57.5,43,4.55,90.46018236,91,2511,74,9,7.17,91,0.365,6.3
2009,56.9,44,4.55,81.14304705,92,54118,77,91,7.41,92,0.356,5.9
2008,56.1,45,4.5,107.7988339,93,395,80,92,6.77,93,0.345,5.4
2007,55.3,46,4.58,73.92730583,89,12,83,93,6.63,89,0.334,4.9
2006,54.3,47,4.73,64.24025208,76,125,86,94,6.58,86,0.325,4.7
2005,53.3,48,4.88,8.769989329,,253,89,94,6.87,82,0,4.3
2004,52.4,49,4.54,56.96108089,,77,91,83,6.45,79,0,3.9
2003,51.6,49,4.58,41.60951275,,2946,92,83,5.61,79,0,3.8
2002,51,49,4.53,3.195566831,,1744,93,69,5.26,69,0,3.6
2001,56,48,4.56,23.1016899,,4174,93,62,4.85,62,0,3.5
2000,51,48,3.71,19.83929597,,6074,92,45,5.6,45,0,3.4
2015,59.6,21,,0,94,9,31,94,,94,0.406,10.6
2014,59.1,22,0.01,41.25159038,95,0,32,95,7.54,95,0.404,10.6
2013,58.6,22,0.01,40.15128458,96,0,32,96,8.3,96,0.398,10.5
2012,58,22,0.01,38.73170505,96,49,33,96,8.21,96,0.393,10.3
2011,57.4,22,4.16,3.595980333,96,129,33,95,8.58,96,0.385,9.9
2010,56.8,23,4.16,31.14187566,96,495,34,94,8.82,96,0.361,9.3
2009,56.2,23,4.05,2.030494673,94,305,34,96,6.96,94,0.336,8.6
2008,55.3,23,4.33,15.99415192,92,173,35,89,7.86,92,0.319,7.9
2007,54.8,24,4.54,1.72659515,99,43,36,93,1.3,99,0.309,7.2
2006,54.1,24,4.5,21.24915339,92,784,36,88,11.49,92,0.29,5.9
2005,53.4,24,5.54,1.747440948,87,0,37,82,9.84,87,0.286,5.6
2004,52.6,24,5.72,11.22655347,83,2,38,76,7.1,83,0.279,5.2
2003,51.9,24,5.84,6.545263634,,224,38,75,5.25,82,0.276,4.7
2002,51.5,24,5.98,9.660010196,,1016,39,74,5.15,81,0.268,4.4
2001,51.3,25,6.09,10.61917585,,0,40,72,4.96,81,0.268,4.5
2000,58,25,6.61,9.696689164,,18363,41,71,4.98,8,0.268,4.5
2015,53.3,57,,0,83,65,79,81,,83,,
2014,52.8,58,0.01,0,76,50,80,76,5.72,76,,
2013,52.3,59,3.15,0,8,48,81,79,5.81,8,,
2012,52,59,3.24,0,82,137,82,83,6.14,82,,
2011,51.7,60,3.13,0,62,628,83,58,6.42,62,,
2010,51.5,60,3.15,0,85,441,84,81,6.32,85,,
2009,51,60,2.92,0,81,183,84,77,6.41,81,,
2008,54,60,2.69,0,74,12,85,58,6.21,74,,
2007,49.9,61,2.58,0,76,5,87,75,6.35,76,,
2006,49.4,62,2.65,0,77,11,89,76,5.87,77,,
2005,48.7,63,3.11,0,76,115,90,87,5.39,76,,
2004,48.2,64,3.08,0,67,3466,91,76,5.24,67,,
2003,48,64,3.12,0,63,4770,92,68,4.65,61,,
2002,47.7,65,3.13,0,48,5882,93,7,4.47,64,,
2001,47.8,65,3.15,0,1,5790,94,7,4.85,66,,
2000,47.9,67,3.45,0,,5729,95,66,6,65,,
2015,73.3,0,,0,96,0,0,93,,93,0.646,13.5
2014,73,0,0.01,414.0242418,97,0,0,95,4.76,95,0.643,13.5
2013,72.8,0,0.01,325.6298627,94,0,0,93,4.29,93,0.643,13.6
2012,72.7,0,0.01,33.55888998,94,0,0,94,4.61,94,0.636,13.2
2011,72.6,0,5.07,4.409153436,9,0,0,9,4.6,9,0.632,13.1
2010,72.5,0,4.75,286.8907303,98,0,0,99,4.83,99,0.627,12.7
2009,72.4,0,4.45,339.9777364,98,0,0,99,4.24,99,0.621,12.4
2008,72.4,0,4.16,360.6208825,98,0,0,99,3.96,99,0.615,12.2
2007,72.3,0,5.28,345.463714,96,0,0,98,4.3,98,0.602,11.9
2006,72.1,0,4.25,26.45133197,95,0,0,97,5.11,96,0.596,11.9
2005,71.8,0,4.26,3.349816965,93,0,0,95,4.86,95,0.582,11.2
2004,71.4,0,4.19,240.139715,91,0,0,94,5.6,93,0.574,11.1
2003,71.1,0,4.16,209.0865,66,0,0,93,5,92,0.572,11.3
2002,77,0,3.82,155.2072669,4,0,0,92,5.17,91,0.569,11.3
2001,73,0,3.81,150.7434862,,0,0,91,5.19,9,0.562,11
2000,69.9,0,3.49,122.5744699,,2,0,9,4.81,9,0,11.3
2015,68.7,10,,0,89,0,12,87,,89,0.558,10.9
2014,68.3,11,0.01,12.17952064,88,0,12,87,5.68,88,0.553,10.9
2013,67.8,11,0.01,8.758214538,83,0,13,66,5.93,83,0.546,10.8
2012,67.4,12,0.01,6.914723983,86,15,14,84,6.24,86,0.54,10.7
2011,67,13,2.12,60.18591771,88,722,15,87,5.64,88,0.533,10.7
2010,66.6,14,2.2,56.88416481,89,1156,16,88,5.95,89,0.519,10.6
2009,66.1,15,2.13,48.35423978,92,4779,17,95,6.36,94,0.52,10.5
2008,65.6,16,2.24,53.10009046,91,4211,18,91,5.55,91,0.511,10.5
2007,65,16,2.08,57.73516711,82,394,20,82,3.75,82,0.495,10.3
2006,64.1,17,2.03,51.50447119,8,188,21,8,4.48,8,0.483,10.1
2005,62.9,18,1.99,62.21817261,,264,22,82,5.84,82,0.47,10
2004,61.5,19,1.38,8.38611924,,352,24,86,6.43,85,0.458,9.7
2003,63,21,1.44,55.59543946,,653,26,69,6.74,69,0.445,9.3
2002,59.3,23,1.43,30.91060554,,1361,29,54,5.95,54,0.427,8.2
2001,58.5,25,1.71,27.68971051,,3761,33,59,5.7,6,0.412,7.6
2000,57.7,27,1.51,0.328418056,,12237,36,62,5.87,59,0.401,7.2
2015,57.3,45,,0,84,1809,68,83,,84,0.514,10.4
2014,56.7,47,0.01,61.39263642,87,831,71,86,4.1,87,0.507,10.4
2013,56.4,48,0.01,63.07890158,89,760,73,88,4.29,89,0.501,10.4
2012,55.9,50,0.01,68.55839112,85,609,76,85,4.34,85,0.496,10.4
2011,55.6,51,6.19,83.18071241,82,504,79,8,3.96,82,0.486,10
2010,55.3,53,6.15,100.8987451,84,240,82,83,5.28,84,0.48,9.7
2009,54.8,54,5.89,9.042540892,8,251,85,79,5.7,8,0.473,9.2
2008,54.2,56,5.9,68.7073044,84,495,87,82,5.18,84,0.466,8.8
2007,53.6,57,5.44,7.562892922,82,100,89,81,4.76,82,0.456,8
2006,53.3,58,5.22,0.962497052,81,196,91,78,4.69,81,0.456,8.2
2005,52.8,58,5.03,73.03276195,79,605,93,79,4.75,8,0.456,8.3
2004,52.1,59,4.71,7.177302132,,358,94,72,4.73,73,0.455,8.2
2003,51.8,60,4.64,67.63925302,,899,95,72,4.97,73,0.452,8.1
2002,51.6,60,4.58,53.70597428,,1448,97,66,4.86,66,0.452,8.4
2001,51.5,61,4.43,41.73629221,,23934,99,61,4.7,63,0.437,7.1
2000,51.4,62,3.91,4.720593531,,14629,100,57,4.48,62,0.433,6.9
2015,82.2,2,,0,55,195,2,91,,91,0.919,16.3
2014,82,2,8.1,102.1902168,55,418,2,91,1.45,91,0.912,15.9
2013,81.8,2,8.2,9733.228019,55,83,2,91,1.67,91,0.909,15.9
2012,81.6,2,8.3,9748.636237,7,10,2,99,1.78,95,0.907,15.9
2011,81.5,2,8.2,971.9280384,7,803,2,87,1.82,87,0.903,15.9
2010,81.2,2,8.4,8649.674911,56,99,2,88,11.2,89,0.898,15.9
2009,81,2,8.4,864.94993,42,14,2,89,11.17,91,0.898,15.9
2008,87,2,8.3,8433.936814,28,62,2,89,1.3,92,0.897,15.8
2007,85,2,8.3,7946.743581,14,101,2,9,9.83,94,0.894,15.8
2006,85,2,8.2,771.1817686,14,13,2,95,9.75,95,0.891,15.8
2005,81,2,8,6333.177967,14,6,2,93,9.57,93,0.886,15.8
2004,80,2,7.8,5513.329924,14,7,2,91,9.56,91,0.881,15.8
2003,79.7,2,7.7,4687.845565,14,15,2,88,9.54,91,0.877,15.8
2002,79.5,2,7.7,3895.856308,,6,2,88,9.37,88,0.872,15.8
2001,79.4,2,7.6,3665.089703,,34,2,88,9.1,89,0.867,15.8
2000,79.1,2,7.6,3787.49456,,206,2,88,8.67,89,0.864,15.9
2015,52.5,15,,0,47,150,21,47,,47,0.347,7.1
2014,58,15,0.01,53.43964323,47,210,22,47,4.2,47,0.345,7.1
2013,49.9,16,0.01,52.37766601,23,596,23,23,3.82,23,0.37,7.1
2012,53,16,0.01,7.344808214,47,141,23,47,3.62,47,0.366,7.1
2011,49.8,16,1.66,58.52947463,47,679,24,47,3.73,47,0.361,6.8
2010,49.2,17,1.67,43.48359197,45,2,24,46,3.9,45,0.352,6.6
2009,48.6,17,1.56,40.45156933,42,11,25,45,3.58,42,0.345,6.4
2008,47.6,17,1.52,67.34137528,,12,25,46,4.3,45,0.338,6.3
2007,46.8,17,1.5,60.04884821,,49,26,46,4.4,48,0.33,6.2
2006,46.3,17,1.54,46.90117916,,3,26,47,3.99,51,0.323,6
2005,45.9,17,1.5,40.92207976,,471,26,47,4.29,54,0.319,5.9
2004,45.7,17,1.5,41.50111735,,1233,26,45,4.1,51,0.315,5.7
2003,45.7,17,1.49,46.11619441,,652,26,44,4.31,47,0.316,5.6
2002,45.6,17,1.47,31.5941587,,938,25,42,4.16,44,0.315,5.4
2001,45.6,17,1.52,33.65315697,,2837,25,4,3.95,4,0.314,5.3
2000,46,16,1.51,30.78382657,,3207,25,38,4.24,37,0.312,5.2
2015,53.1,46,,0,46,418,77,52,,46,0.394,7.3
2014,52.6,46,0.01,11.3020668,37,1275,78,44,3.62,37,0.39,7.3
2013,52.2,46,0.64,76.52382535,39,226,78,46,3.42,39,0.387,7.3
2012,51.8,46,0.62,57.8242709,4,120,79,51,3,4,0.381,7.3
2011,51.6,46,0.56,67.76269089,33,8650,79,4,3.17,33,0.37,6.7
2010,51.2,46,0.5,43.57328908,39,194,80,43,2.95,39,0.36,6.7
2009,57,46,0.47,4.982900401,24,165,80,32,3.31,24,0.343,6.3
2008,49.6,46,0.45,49.09198224,17,63,80,3,2.92,19,0.338,6
2007,49.4,46,0.42,5.962923532,,441,80,38,3.35,28,0.306,5.7
2006,48.5,45,0.41,62.67225971,,1594,80,49,3.32,4,0.303,5.5
2005,48.6,45,0.42,8.936064632,,2,79,37,3.91,25,0.306,5.6
2004,48.5,44,0.34,72.38451279,,10324,78,31,5.72,21,0.301,5.6
2003,48.4,44,0.42,3.979243535,,15801,77,36,5.49,23,0.284,5.4
2002,48.1,43,0.36,3.039691193,,7277,76,31,8.33,25,0.303,5.1
2001,48,42,0.3,26.87439074,,24908,75,26,6.9,26,0.3,4.9
2000,47.6,41,0.25,21.52701616,,3546,74,3,6.28,36,0,4.7
2015,85,2,,0,97,9,2,96,,96,0.845,16.3
2014,83,2,7.16,2352.999591,95,0,2,95,7.79,95,0.841,16.2
2013,81,2,7.2,2442.222054,9,0,2,9,7.53,91,0.831,15.6
2012,79.9,2,6.76,2260.777642,9,0,2,9,7.24,9,0.826,15.5
2011,79.8,2,7.26,211.614293,94,6,2,93,7,94,0.82,15.4
2010,79.1,2,7.93,177.4925143,92,0,2,92,6.97,92,0.815,15.2
2009,79.3,2,7.67,181.525923,94,1,2,94,7.39,94,0.816,15.3
2008,79.6,2,7.31,241.5533381,95,0,2,95,6.87,95,0.804,15.2
2007,78.9,2,7.39,209.4875875,92,0,2,95,6.35,96,0.797,14.8
2006,78.9,2,7.33,1275.689625,95,0,2,94,6.18,94,0.796,14.9
2005,78.4,2,7.57,954.9644887,,0,2,92,6.69,91,0.79,14.6
2004,78,2,6.32,78.78564878,,0,2,94,6.93,93,0.781,14.3
2003,77.9,2,6.37,584.0993429,,1,2,96,7.34,96,0.775,14
2002,77.8,2,6.06,675.7808443,,0,3,97,6.48,97,0.768,13.9
2001,77.3,2,6.1,687.5116825,,0,3,96,6.51,97,0.761,13.7
2000,77.3,2,6.24,74.14842946,,0,3,91,6.4,91,0.755,13.5
2015,76.1,157,,0,99,42361,183,99,,99,0.734,13.5
2014,75.8,171,5.78,109.8743903,99,52628,198,99,5.55,99,0.723,13.1
2013,75.6,185,5.79,9.955532032,99,26883,216,99,5.39,99,0.713,12.7
2012,75.4,201,5.74,94.4344566,99,6183,233,99,5.26,99,0.703,12.4
2011,75.2,215,5.63,91.26749779,99,9943,251,99,5.3,99,0.7,12.8
2010,75,231,5.75,5.660754839,99,38159,268,99,4.89,99,0.691,12.5
2009,74.9,248,4.88,50.28348923,99,52461,288,99,5.8,99,0.682,12.2
2008,74.5,266,4.27,39.22509728,95,131441,308,99,4.59,97,0.672,11.9
2007,74.4,285,3.88,312.6624819,92,109023,332,94,4.32,93,0.659,11.4
2006,74.2,307,3.28,29.74342979,91,99602,360,94,4.52,93,0.646,11
2005,73.9,332,2.92,171.6596026,84,124219,392,87,4.66,87,0.634,10.6
2004,73.5,360,3.04,1.58668462,79,70549,427,87,4.72,87,0.622,10.2
2003,73.1,391,2.96,122.9365349,75,71879,467,87,4.82,86,0.61,9.9
2002,72.7,422,2.91,106.3590358,7,58341,511,86,4.79,86,0.6,9.7
2001,72.2,457,2.84,14.23064496,65,88962,558,86,4.56,86,0.592,9.6
2000,71.7,490,3.06,17.46057369,6,71093,608,86,4.6,85,0.583,9.5
2015,74.8,10,,0,91,1,12,91,,91,0.724,13.6
2014,74.6,11,4.38,1435.487755,9,0,12,9,7.2,9,0.72,13.6
2013,74.4,11,4.41,15.16255482,91,1,13,91,6.84,91,0.712,13.3
2012,74.3,11,4.44,1487.896562,92,1,13,91,6.93,91,0.707,13.2
2011,74.2,12,4.37,184.3073618,85,6,14,85,6.64,85,0.7,13
2010,73.6,12,4.28,113.2436346,88,0,15,88,6.76,88,0.695,12.8
2009,73.6,13,4.34,941.6464045,92,0,15,92,7.1,92,0.691,12.4
2008,73.5,14,4.45,978.07041,92,0,16,92,6.62,92,0.683,12.2
2007,73.5,14,4.66,780.5946749,93,0,17,93,6.25,93,0.675,11.9
2006,73.1,15,4.53,62.43710774,93,0,17,94,6.11,93,0.669,11.5
2005,73.1,15,4.38,531.9808176,93,0,18,93,5.82,93,0.658,11.1
2004,72.8,16,4.26,42.17956418,89,0,19,89,5.37,89,0.658,11.3
2003,72.4,16,4.25,417.8038898,92,0,19,92,5.92,92,0.659,11.6
2002,71.8,17,4.45,393.8773633,78,139,20,83,5.67,81,0.656,11.5
2001,71.5,17,4.43,404.4205858,8,3,21,83,5.96,8,0.653,11.4
2000,71.4,18,4.66,477.1341814,78,1,21,82,5.91,79,0.65,11.3
2015,63.5,1,,0,91,0,2,92,,91,0.498,11.1
2014,63.2,1,0.01,73.86584922,88,0,2,87,6.75,87,0.497,11.1
2013,62.9,1,0.01,61.57443584,88,0,2,85,6.51,87,0.49,10.9
2012,62.5,2,0.01,78.39008571,89,1,2,85,7.11,86,0.484,10.8
2011,62.2,2,0.12,59.6596497,83,3,2,85,6.1,83,0.479,10.6
2010,61.8,2,0.15,47.30421873,74,0,2,82,5.82,74,0.476,10.5
2009,61.3,2,0.17,56.98952474,83,1,2,84,3.82,83,0.465,10.3
2008,61,2,0.12,93.36788979,81,0,2,81,5.13,81,0.461,10.2
2007,66,2,0.16,9.087638194,75,0,2,75,4.93,75,0.459,10
2006,63,2,0.25,77.0283958,69,85,2,69,4.57,69,0.451,9.9
2005,60,2,0.24,69.9675435,68,912,2,67,4.32,68,0.434,9.7
2004,59.8,2,0.27,7.212110766,77,0,2,73,3.96,76,0,9.5
2003,59.6,2,0.26,45.09010835,28,0,2,8,3.65,8,0,9.2
2002,59.5,2,0.08,29.41897495,,0,2,98,3.39,89,0,8.8
2001,59.5,1,0.08,19.71741043,,0,2,7,2.86,7,0,8.5
2000,59.5,1,0.09,35.02948624,,0,2,7,3.56,7,0,8.2
2015,64.7,7,,0,8,1359,10,8,,8,0.59,11.1
2014,64.2,7,0.01,0,9,71,10,9,5.15,9,0.581,11.1
2013,63.9,7,0.01,0,85,124,10,85,5.9,85,0.576,11.1
2012,63.7,7,0.01,0,62,260,10,61,3.98,85,0.557,10.2
2011,62.9,7,3.82,0,7,315,10,69,2.79,82,0.558,10.7
2010,62,7,3.53,0,74,4,10,72,2.29,74,0.548,10.5
2009,68,7,3.47,0,75,1,11,76,2.27,78,0.545,10.3
2008,59.4,8,2.58,0,73,2,11,77,2.9,79,0.527,10
2007,58.2,8,2.75,0,64,84,11,71,2.54,72,0.517,9.8
2006,56.9,8,2.25,0,,126,12,73,2.37,73,0.507,9.6
2005,55.3,8,2.03,0,,146,13,62,2.42,62,0.496,9.4
2004,54.1,9,2.58,0,,3524,13,67,2.56,67,0.497,9.2
2003,53.2,9,2.45,0,,3712,14,5,2.61,5,0.492,9.4
2002,52.6,9,2.55,0,,2788,14,41,2.45,41,0.488,9.5
2001,52.7,9,2.3,0,,2152,14,32,2.44,31,0.487,9.7
2000,52.9,9,2.26,0,,1678,14,31,2.13,33,0.487,9.8
2013,,0,0.01,0,98,0,0,98,3.58,98,,
2015,79.6,1,,0,92,0,1,92,,92,0.775,14.2
2014,79.5,1,3.45,384.5129138,91,1,1,91,9.31,91,0.768,13.9
2013,79.4,1,3.42,386.1379123,94,0,1,95,9.47,95,0.762,13.7
2012,79.2,1,3.34,2568.237059,91,0,1,9,9.56,91,0.758,13.6
2011,79,1,3.41,2429.854745,84,0,1,82,9.73,85,0.752,13.4
2010,78.1,1,3.58,2377.010299,89,0,1,93,9.66,88,0.749,13.3
2009,79.2,1,4.07,24.88720369,87,0,1,8,9.69,86,0.747,13.1
2008,78.9,1,4.22,1859.095621,89,0,1,89,9.1,9,0.74,12.9
2007,78.9,1,4.2,150.8891479,89,0,1,89,8.37,89,0.734,12.8
2006,78,1,4.15,1185.412346,88,0,1,89,7.82,89,0.727,12.6
2005,78.6,1,4.1,1002.833273,9,1,1,91,7.74,91,0.723,12.4
2004,77.7,1,4.09,1043.10795,89,0,1,9,7.8,9,0.719,12.2
2003,78,1,4.04,1070.268999,86,1,1,88,8.45,88,0.715,12.1
2002,78.3,1,4.17,112.9493745,94,0,1,94,8.23,94,0.712,11.9
2001,77.5,1,4.29,868.3713593,8,0,1,92,7.25,91,0.708,11.7
2000,77.6,1,4.34,94.17819458,89,0,1,8,7.12,88,0.702,11.6
2015,78,0,,0,94,206,0,94,,94,0.823,15.3
2014,77.8,0,12.14,1884.098811,95,0,0,95,7.8,95,0.82,15.1
2013,77.7,0,12.39,1899.107385,96,0,0,96,7.83,96,0.817,14.9
2012,77.1,0,11.49,1851.713262,98,2,0,96,7.8,96,0.815,14.6
2011,77,0,12.19,1913.356642,97,12,0,96,7.8,96,0.808,14.5
2010,76.6,0,12.1,206.8868182,97,7,0,97,8.25,97,0.803,14.2
2009,76.3,0,12.21,2160.380199,97,2,0,96,8.18,96,0.803,14.2
2008,76,0,12.06,2425.403891,97,51,0,96,7.7,96,0.8,14.3
2007,75.8,0,12.56,2019.812779,95,0,0,96,7.44,96,0.793,14.3
2006,75.9,0,11.83,1555.651986,,1,0,96,6.95,96,0.783,13.9
2005,75.2,0,11.59,167.2319899,,2,0,96,6.89,96,0.777,13.6
2004,75.4,0,13.11,1116.396502,,54,0,96,6.56,96,0.771,13.3
2003,74.7,0,13.78,93.67706503,,19,0,95,6.35,94,0.765,12.9
2002,74.8,0,13.39,11.63615139,,6,0,95,6.19,95,0.759,12.6
2001,74.9,0,13.15,650.9567981,,8,0,94,7.16,94,0.749,12.3
2000,74.7,0,12.73,649.3909871,,9,0,94,7.66,93,0.739,12.2
2015,79.1,1,,0,99,0,1,99,,99,0.773,13.9
2014,79,1,4.37,13.6691019,97,0,1,99,11.6,99,0.772,14
2013,78.7,1,4.18,95.67571176,96,0,1,99,9.48,99,0.773,14.7
2012,78.7,1,4.16,742.1961992,96,0,1,98,8.59,99,0.778,15.7
2011,78.8,1,4.14,102.0645784,96,0,1,99,1.6,97,0.78,16.5
2010,78,1,4.13,787.2808163,96,0,1,99,1.19,96,0.784,17.6
2009,78.1,1,4.01,818.8771016,96,0,1,99,11.78,96,0.782,17.7
2008,77.9,1,4.26,708.6157966,95,0,1,99,1.79,95,0.771,17.1
2007,78.1,1,4.13,750.7147641,93,0,1,99,1.42,93,0.754,16
2006,78,1,4.17,523.4724284,89,0,1,99,7.67,89,0.732,14.7
2005,77.2,1,4.48,518.9359221,95,0,1,99,9.39,89,0.719,14.2
2004,77.3,1,4.38,4.484254579,99,0,1,98,6.14,88,0.705,13.2
2003,77.4,1,4.39,60.34145124,99,0,1,98,6.31,72,0.694,12.9
2002,77.7,1,4.1,334.7672107,98,0,1,98,6.5,99,0.692,12.5
2001,76.7,1,4.04,322.5863149,98,0,1,99,6.27,98,0.686,12.3
2000,76.9,1,3.92,49.34007756,98,0,1,98,6.7,95,0.679,12.1
2015,85,0,,0,97,0,0,97,,97,0.854,14.3
2014,83,0,0.01,207.3041936,96,10,0,99,7.37,99,0.85,14
2013,81,0,9.04,212.0859259,96,0,0,99,7.46,99,0.85,13.8
2012,80,0,10.55,2159.756205,96,1,0,99,7.44,99,0.85,13.8
2011,79.7,0,10.69,2443.325028,96,0,0,99,7.54,99,0.847,13.8
2010,79.5,0,11.32,283.3300258,96,18,0,99,7.23,99,0.853,14.6
2009,79.3,0,10.8,230.2524184,96,0,0,99,7.4,99,0.849,14.1
2008,79.1,0,12.01,239.6409938,93,1,0,97,6.89,97,0.844,13.7
2007,78.9,0,11.56,1958.525877,93,0,0,97,6.5,97,0.836,13.5
2006,78.8,0,11.47,1700.841534,93,0,0,97,6.28,97,0.829,13.4
2005,78.7,0,11.41,1562.520827,88,1,0,98,6.37,98,0.826,13.5
2004,78.6,0,13.03,1586.724172,88,0,0,98,6.42,98,0.823,13.4
2003,78.5,0,10.62,158.7087399,88,0,0,98,6.83,98,0.815,13
2002,78.4,0,11.68,1128.050886,88,0,0,98,6.12,98,0.805,12.5
2001,78.2,0,10.16,100.8086193,89,0,0,97,5.78,97,0.8,12.4
2000,78.1,0,9.56,950.8027925,89,0,0,97,5.77,97,0.798,12.5
2015,78.8,0,,0,97,9,0,97,,97,,
2014,78.6,0,12.68,0,99,222,0,99,7.41,97,,
2013,78.2,0,12.45,0,99,15,0,99,7.49,98,,
2012,78,0,12.71,0,99,22,0,99,7.55,99,,
2011,77.8,0,12.43,0,99,17,0,99,7.5,99,,
2010,77.5,0,12.69,0,99,0,0,99,7.43,99,,
2009,77.1,0,13.23,0,99,5,0,99,7.85,99,,
2008,77,0,13.25,0,99,2,0,99,6.82,99,,
2007,76.8,0,13.43,0,99,2,0,99,6.52,99,,
2006,76.5,0,13.03,0,98,7,0,98,6.69,98,,
2005,75.9,0,13.19,0,99,0,0,96,6.93,97,,
2004,75.8,0,13.24,0,98,17,0,96,6.9,98,,
2003,75.2,0,13.01,0,92,30,0,97,7.13,97,,
2002,75.3,0,13.47,0,86,4,0,97,6.8,98,,
2001,75.1,0,13.36,0,,6,0,97,6.42,98,,
2000,74.7,0,13.22,0,,9,0,98,6.31,98,,
2015,76,6,,0,96,0,7,99,,96,,
2014,73,6,0.01,0,93,3,8,99,,93,,
2013,71,6,3.35,0,93,0,8,99,,93,,
2012,69.8,7,3.61,0,96,0,9,99,,96,,
2011,69.4,8,3.39,0,94,0,10,99,,94,,
2010,69,8,3.12,0,93,0,10,99,,93,,
